#start-internal
icon=netherlands
#end-internal
(Building Blocks)|(Bouwstenen)
(Favorites)|(Favorieten)
(Recently Used)|(Onlangs gebruikt)
180 degrees clockwise|180 graden rechtsom
270 degrees clockwise|270 graden rechtsom
90 degrees clockwise|90 graden rechtsom
A variant with that name already exists. Overwrite?|Er bestaat al een variant met die naam. Overschrijven?
About|over
Above|boven
Access User Files|Toegang tot gebruikersbestanden
Add Flexible Leads|Voeg flexibele kabels toe
Add Validation Step|Validatiestap toevoegen
All Connected|Allemaal verbonden
Alpha|Alpha
Analyze|analyseren
Analyze Guitar Diagrams|Analyseer gitaar diagrammen
Angle|hoek
Anti-Aliasing|Anti-Aliasing
Arrow Size|Pijlgrootte
Author|auteur
Auto-Create Pads|Pads automatisch maken
Auto-Edit Mode|Automatische bewerkingsmodus
Base|base
Below|beneden
Blueprint|plan
Board|boord
Boards|boards
Board Color|Bord kleur
Board Width|Board Breedte
Bobin 1|Spoel 1
Bobin 2|Spoel 2
Body|lichaam
Border|grens
Border Thickness|Randdikte
Both|beide
Both Sides|Beide kanten
Bottom|bodem
Bottom Left|Linksonder
Bottom Right|Rechtsonder
Bring Forward|Breng naar voren
Bring Selection to Front|Breng selectie naar voren
Buffer|buffer
Center|centrum
Center Negative|Centrum negatief
Center Positive|Centrum positief
Center Terminal|Centrale terminal
Central|centraal
Change Password|Wachtwoord wijzigen
Channel|kanaal
Chassis|chassis
Circular|circulaire
Click on a component to highlight area directly or indirectly connected to the area below the cursor. To continue editing, this mode needs to be switched OFF|Klik op een component om een ​​gebied te markeren dat direct of indirect verbonden is met het gebied onder de cursor. Om door te gaan met bewerken, moet deze modus worden uitgeschakeld
Click on the canvas to create a new %s or press %s to cancel|Klik op het canvas om een ​​nieuwe %s te maken of druk op %s om te annuleren
Click on the canvas to set the %s control point of a new %s or press %s to cancel|Klik op het canvas om het %s-controlepunt van een nieuwe %s in te stellen of druk op %s om te annuleren
Click the lighbulb icon in the bottom-right corner of the window for more info.|Klik op het lighbulb-pictogram in de rechterbenedenhoek van het venster voor meer informatie.
Click to fetch the most recent public announcement|Klik om de meest recente openbare aankondiging op te halen
Click to show recent changes and updates|Klik om recente wijzigingen en updates weer te geven
Coil|spoel
Coil Border|Coil grens
Coil Length|Spoel lengte
Coil Width|Coil Breedte
Color|kleur
Color 1|Kleur 1
Color 2|Kleur 2
Color code|Kleurcode
Columns|columns
Component|bestanddeel
Component API|Component API
Components|Components
Config|config
Connector|connector
Connector (Mirrored)|Connector (gespiegeld)
Connectivity|connectiviteit
Contacts|contacten
Continuous Creation|Continu creëren
Coordinate Color|Kleur coördinaten
Coordinate Origin|Coördinaten oorsprong
Coordinates|coördinaten
Copy|exemplaar
Core|kern
Core Border|Core grens
Core Thickness|Core dikte
Core Width|Core breedte
Could not create a new file. Check the log for details.|Kon geen nieuw bestand maken. Controleer het logboek voor details.
Could not create component. Check log for details.|Kon component niet maken. Controleer logboek voor details.
Could not fetch public announcements.|Kan openbare aankondigingen niet ophalen.
Could not save the project to file. Check the log for details.|Kan het project niet opslaan in een bestand. Controleer het logboek voor details.
Could not set component type slot. Check log for details.|Kan sleuf voor componenttype niet instellen. Controleer logboek voor details.
Cover|deksel
Create B.O.M.|Maak B.O.M.
Create New Account|Maak een nieuw account aan
Current|stroom
Cut|gesneden
Cut Between Holes|Snijd tussen gaten
Cut Orientation|Snij-oriëntatie
DIP (Mirrored)|DIP (gespiegeld)
DP3T (Standard 3-Position Strat)|DP3T (standaard Strat met 3 posities)
DP3T (Standard 5-Position Strat)|DP3T (standaard Strat met 5 posities)
DP4T (4-Position Tele)|DP4T (tele met 4 posities)
Dark|donker
Dashed|stippel
Decimals|Decimals
Default|verzuim
Default Font|Standaard lettertype
Default Font Size|Standaard lettergrootte
Delete Selection|Selectie verwijderen
Description|beschrijving
Diameter|diameter
Directional|richting
Directly heated|Direct verwarmd
Display|tonen
Display Pin #s|Pin #s weergeven
Dog Ear|Hond oor
Dot Spacing|Dot Spacing
Dotted|stippel
Drag control point(s) of|Sleep controlepunt (en) van
Drag the mouse over the canvas to place a new|Sleep de muis over het canvas om een ​​nieuwe te plaatsen
Dual Rail Humbucker|Dual Rail Humbucker
Dual Rods|Dubbele staven
Duodecar B12C|Duodecar B12C
Duplicate|Duplicate
Edges|randen
Edit|uitgeven
Edit Project Settings|Projectinstellingen bewerken
Edit Selection|Selectie bewerken
Electrode Labels|Elektrode-etiketten
Electro-Mechanical|Elektromechanische
Enable Cache Boost|Schakel Cache Boost in
End Arrow|Einde pijl
Enjoying DIYLC? Click here to buy me a coffe :)|Geniet je van DIYLC? Klik hier om een ​​koffie voor me te kopen :)
Error|fout
Error occured while editing selection. Check the log for details.|Er is een fout opgetreden bij het bewerken van de selectie. Controleer het logboek voor details.
Exit|Uitgang
Expand Selection|Vouw Selectie uit
Explicit Dimensions|Expliciete dimensies
Explicit Length|Expliciete lengte
Explicit Width|Expliciete breedte
Export Building Blocks|Bouwstenen exporteren
Export Grid|Raster exporteren
Export Variants|Exporteer varianten
Export to PDF|Exporteer naar PDF
Export to PNG|Exporteer naar PNG
Extra Working Area|Extra werkgebied
Eyelet color|Oogje kleur
FAQ|FAQ
File|file
Fill|fill
Filtertron|Filtertron
Find|vinden
Five|vijf
Flip|tik
Folded|gevouwen
Font|doopvont
Font Bold|Vet lettertype
Font Italic|Cursief lettertype
Font Size|Lettergrootte
Four|vier
Full|vol
Fuse|zekering
Generate DIYLC Netlist|Genereer DIYLC Netlist
Generate Spice Netlist|Genereer Spice Netlist
Grid|rooster
Grid Spacing|Rasterafstand
Group Selection|Groepsselectie
Guitar|gitaar
Half|helft
Hardware Acceleration|Hardwareversnelling
Heaters|kachels
Height|hoogte
Help|ondersteuning
Hi-Quality Rendering|Hoogwaardige weergave
Highlight Connected Areas|Markeer verbonden gebieden
Hole|gat
Hole Size|Grootte gat
Hole Spacing|Gatafstand
Hole size|Grootte gat
Holes per strip|Gaten per strip
Horizontal|horizontaal
Horizontal Alignment|Horizontale uitlijning
Horizontal Large|Horizontaal groot
Horizontal Medium|Horizontaal medium
Horizontal Small 1|Horizontaal Klein 1
Horizontal Small 2|Horizontaal Klein 2
Horizontal X-Small|Horizontaal X-Small
Humbucking|humbucking
If this box is checked application will use the current value as a<br>default when creating new components of the same type|Als dit vakje is aangevinkt, gebruikt de toepassing de huidige waarde als standaardinstelling bij het maken van nieuwe componenten van hetzelfde type
Image|afbeelding
Immediate Only|Alleen direct
Import|import
Import Building Blocks|Bouwstenen importeren
Import Variants|Varianten importeren
In-Line D-44|In-lijn D-44
In-line|Inline
Indent|inspringen
Information|informatie
Inline|inline
Input error for "%s": %s|Invoerfout voor " %s": %s
Inside color|Kleur binnenkant
Integration|integratie
Invert polarity|Draai de polariteit om
Label|etiket
Label Color|Label kleur
Label Orientation|Oriëntatie van het label
Label Position|Labelpositie
Labels|labels
Language|taal
Language selection will be applied after the application is restarted.|Taalkeuze wordt toegepast nadat de applicatie opnieuw is opgestart.
Layer|laag
Layers|lagen
Lead Color|Loodkleur
Lead Count|Aantal leads
Lead Length|Lead lengte
Lead Spacing|Lead afstand
Left|linkerzijde
Left-to-Right|Left-to-Right
Left click to instantiate this component, right click for more options|Klik met de linkermuisknop om dit onderdeel te instantiëren, klik met de rechtermuisknop voor meer opties
Legs|benen
Length|lengte
Letters|brieven
Light|licht
Lin|Lin
Lip|lip
Lock|Lock
Log|Log
Log In|Inloggen
Log Out|Log uit
Lug Size|Lug Maat
Lugs|lugs
Make a Donation|Doe een gift
Manage Account|Account beheren
Manage My Uploads|Beheer mijn uploads
Mark Common Lugs|Mark Common Lugs
Marker|marker
Mini|mini
Miniature|miniaturen
Mirror Horizontally|Horizontaal spiegelen
Mirror Selection|Spiegelselectie
Mirror Vertically|Spiegel verticaal
Mirroring operation will change the circuit. Do you want to continue?|Het spiegelen zal het circuit veranderen. Wil je doorgaan?
Misc|Misc
Model|model
Mono|mono
Mount|berg
Mounting Lugs|Bevestigingsogen
Mouse Wheel Zoom|Muiswiel zoom
Moveable Label|Verplaatsbaar label
Name|naam
Nand|Nand
Negative|negatief
New|nieuw
New version available|Nieuwe versie beschikbaar
No new public announcements available.|Geen nieuwe openbare aankondigingen beschikbaar.
No|geen
None|geen
North|noorden
Noval B9A|Noval B9A
Nudge|duwtje
Numbers|Numbers
Nut|moer
Octal|octaal
Offset|compenseren
One Side|Een kant
Open|open
Opposing Points|Tegengestelde punten
Orientation|oriëntering
Outer Foil|Buitenste folie
Outer Foil Mark|Buitenste foliemarkering
Outline Mode|Overzichtsmodus
Outside|buiten
Oval horizontal|Ovaal horizontaal
Oval vertical|Ovaal verticaal
Pad Color|Pad kleur
Passive|passief
Paste|plak
Pin Arrangement|Pin-arrangement
Pin Color|Pin kleur
Pin Spacing|Pin afstand
Pin spacing|Speldafstand
Pinout|pinout
Pins|Pins
Play Test|Speel Test
Plugin API|API-plug-ins
Point Count|Puntentelling
Polarity|polariteit
Polarized|gepolariseerd
Pole Color|Pool kleur
Pole Pieces|Pole Pieces
Pole Pieces 1|Paalstukken 1
Pole Pieces 2|Poolstukken 2
Positions|posities
Positive|positief
Power Rating|Vermogen
Power Strip|Stekkerdoos
Primary CT|Primaire CT
Print...|Print ...
Project Cloud|Project Cloud
Public Announcement|Openbare aankondiging
Radius|straal
Rail|rail
Recent Files|Recente bestanden
Recent Updates|Recente updates
Redo|Opnieuw
Renumber On Paste|Hernummer op plakken
Renumber Selection|Selectie opnieuw nummeren
Resistance|weerstand
Rev log|Rev log
Reverse (standing)|Achteruit (staand)
Right|rechts
Rods|Rods
Rotate Clockwise|Draai rechtsom
Rotate Counterclockwise|Draai tegen de klok in
Rotate Selection|Draai selectie
Round|rondje
Round WOG A|Ronde WOG A
Round WOG B|Ronde WOG B
Row Spacing|Rijafstand
Rows|rijen
Ruler Inch Subdivision...|Liniaal onderverdeling ...
Same Type Only|Alleen hetzelfde type
Save|Save
Save As|Opslaan als
Save as Variant|Opslaan als variant
Scale|trap
Schematic Symbols|Schematische symbolen
Screws|schroeven
Selection|selectie
Selection Size|Selectie grootte
Selection is empty.|Selectie is leeg.
Search The Cloud|Zoek in de cloud
Searchable Tree|Doorzoekbare boom
Secondary CT|Secundaire CT
Select All|Alles selecteren
Selected component(s) have reached the bottom of their layer. Do you want to force the selection to the back?|Geselecteerde component (en) hebben de onderkant van hun laag bereikt. Wil je de selectie naar achteren forceren?
Selected component(s) have reached the top of their layer. Do you want to force the selection to the top?|Geselecteerde component (en) hebben de bovenkant van hun laag bereikt. Wil je de selectie naar boven forceren?
Selection contains components that cannot be mirrored. Do you want to exclude them?|Selectie bevat componenten die niet kunnen worden gespiegeld. Wil je ze uitsluiten?
Selection contains components that cannot be rotated. Do you want to exclude them?|Selectie bevat componenten die niet kunnen worden geroteerd. Wil je ze uitsluiten?
Semiconductors|Semiconductors
Send Backward|Achteruit sturen
Send Selection to Back|Stuur selectie terug
Seven|zeven
Shaft Down|Schacht naar beneden
Shaft Up|Schacht omhoog
Shape|vorm
Shapes|vormen
Show Grid|Raster weergeven
Show Rulers|Toon linialen
Shroud|sluier
Shrouded|gehuld
Single Rail|Enkele rail
Single Rods|Enkele staven
Size|afmeting
Sizing Mode|Formaatmodus
Small-button B7G|B7G met kleine knop
Smooth|Smooth
Snap To...|Uitlijnen op ...
Soap Bar|Zeep Bar
Solid|solide
South|zuiden
Spacing|tussenruimte
Square|vierkant
Square BR-3|Vierkant BR-3
Standard|standaard
Start Arrow|Start pijl
Start Recording|Begin met opnemen
Stereo|stereo
Sticky Points|Kleverige punten
Stop Recording|Stop met opnemen
Stratocaster|Stratocaster
Strip Color|Strip kleur
Stripe|streep
Stripe 1|Streep 1
Stripe 2|Streep 2
Stripe Color|Streep kleur
Stripe Color 1|Streepkleur 1
Stripe Color 2|Streepkleur 2
Style|stijl
Submit a Bug|Dien een bug in
Suppressor grid|Suppressor rooster
Switched|Switched
Switches|schakelaars
Tab|tab
Tab Border|Tabrand
Tabbed Toolbar|Werkbalk met tabbladen
Taper|taps
Telecaster|Telecaster
Terminal Spacing|Terminal afstand
Terminals|terminals
Test|test
Text|tekst
Text Color|Tekstkleur
Theme|thema
There are unsaved changes. Would you like to save them?|Er zijn niet-opgeslagen wijzigingen. Wil je ze redden?
Thickness|dikte
Three|drie
Through Hole|Doorgaand gat
Tick|teek
Title|titel
Toolbox|Toolbox
Top|top
Top Lead|Top Lead
Top Left|Linksboven
Top Right|Rechtsboven
Top-to-Bottom|Top-to-Bottom
Trace|spoor
Trace Color|Kleur traceren
Trace Mask|Trace Mask
Transform Selection|Selectie transformeren
Triangle|driehoek
Tubular|buisvormig
Tubes|tubes
Two|twee
Type|type
Ultra-miniature|Ultra-miniatuur
Underside Pad Color|Kleur onderzijde pad
Underside Trace Color|Onderzijde traceerkleur
Undo|Undo
Ungroup Selection|Groepering opheffen
Unit|eenheid
Upload A Project|Upload een project
User Manual|Gebruiksaanwijzing
Value|waarde
Version history is not available.|Versiegeschiedenis is niet beschikbaar.
Vertical|verticaal
Vertical Alignment|Verticale uitlijning
Vertical Inline|Verticaal inline
Vertical Offset 1|Verticale offset 1
Vertical Offset 2|Verticale offset 2
View|uitzicht
Visible|zichtbaar
Voltage|voltage
Wafer|wafeltje
Warning|waarschuwing
Width|breedte
Winding Spacing|Wikkelafstand
X-axis|X-as
Y-axis|Y-as
Zoom|zoom
base of 10|basis van 10
base of 2|basis van 2
hold %s and drag to unstuck from|houd %s vast en sleep om los te maken van
