#start-internal
icon=germany
#end-internal
(Building Blocks)|(Bausteine)
(Favorites)|(Favoriten)
(Recently Used)|(Zuletzt verwendet)
180 degrees clockwise|180 Grad
270 degrees clockwise|270 Grad rechts
90 degrees clockwise|90 Grad rechts
A variant with that name already exists. Overwrite?|Es gibt bereits eine Variante mit diesem Namen. Überschreiben?
About|Programminformationen
Above|Oberhalb
Open User Directory|Benutzerverzeichnis öffnen
Add a Curve|Kurve hinzufügen
Add Flexible Leads|Flexible Verbindung hinzufügen
Add Validation Step|Bestätigungsschritt hinzufügen
All Connected|Alle verbundenen
Alpha|Deckkraft
Analyze|Analysieren
Apply Variant|Variante hinzufügen
Analyze Guitar Diagrams|Gitarrendiagramme analysieren
Angle|Winkel
Anti-Aliasing|Anti-Aliasing
Arrow Size|Pfeilgröße
Author|Verfasser
Auto-Create Pads|Automatische Erstellung von Lötpads
Auto-Edit Mode|Automatischer Bearbeitungsmodus
Base|Basis
Below|Unter
Blueprint|Entwurf
Board|Leiterplatte
Boards|Leiterplatten
Board Color|Leiterplattenfarbe
Board Width|Leiterplattenbreite
Bobbin 1|Wirbel 1
Bobbin 2|Wirbel 2
Body|Körper
Border|Rand
Border Thickness|Randbreite
Both|Beide
Both Sides|Beide Seiten
Bottom|Unten
Bottom Left|Unten links
Bottom Right|Unten rechts
Bring Forward|Anheben
Bring Selection to Front|Auswahl ganz nach oben brengen
Buffer|Zwischenspeicher
Center|Mitte
Center Negative|Mittelstift negativ
Center Positive|Mittelstift positiv
Center Terminal|Mittelstiftverbindung
Central|Zentral
Change Password|Passwort ändern
Channel|Kanal
Chassis|Chassis
Circular|Kreisförmig
Clear|Löschen
Click on a component to highlight area directly or indirectly connected to the area below the cursor. To continue editing, this mode needs to be switched OFF|Klicken Sie auf eine Komponente, um einen Bereich hervorzuheben, der direkt oder indirekt mit dem Bereich unter dem Mauszeiger verbunden ist. Um mit der Bearbeitung fortzufahren, muss dieser Modus deaktiviert sein.
Click on the canvas to create a new %s or press %s to cancel|Klicken Sie auf das Arbeitsblatt, um ein neues %s zu erstellen, oder drücken Sie %s, um abzubrechen
Click on the canvas to set the %s control point of a new %s or press %s to cancel|Klicken Sie auf das Arbeitsblatt, um den %s Kontrollpunkt eines neuen %s festzulegen, oder drücken Sie %s, um abzubrechen
Click the lightbulb icon in the bottom-right corner of the window for more info.|Klicken Sie auf das Glühbirnen-Symbol in der unteren rechten Ecke des Fensters, um weitere Informationen zu erhalten
Click to fetch the most recent public announcement|Klicken Sie hier, um das neuste Update zu erhalten
Click to show recent changes and updates|Klicken Sie hier, um die letzten Änderungen und Aktualisierungen anzuzeigen
Coil|Spule
Coil Border|Spulenrand
Coil Length|Spulenlänge
Coil Width|Spulenbreite
Color|Farbe
Color 1|Farbe 1
Color 2|Farbe 2
Color code|Farbcode
Columns|Spalten
Component|Komponente
Component API|Komponenten API
Components|Komponenten
Config|Konfiguration
Connector|Steckverbinder
Connector (Mirrored)|Steckverbinder (gespiegelt)
Connectivity|Konnektivität
Contacts|Kontakte
Continuous Creation|Wiederholtes Erstellen
Coordinate Color|Koordinatenfarbe
Coordinate Origin|Koordinatenursprung
Coordinates|Koordinaten
Copy|Kopieren
Core|Kern
Core Border|Kernrand
Core Thickness|Kerndicke 
Core Width|Kernbreite 
Could not create a new file. Check the log for details.|Neue Datei konnte nicht erstellt werden. Überprüfen Sie die Protokolldatei auf Details.
Could not create component. Check log for details.|Komponente konnte nicht erstellt werden. Überprüfen Sie die Protokolldatei auf Details.
Could not fetch public announcements.|Öffentliche Ankündigungen konnten nicht abgerufen werden.
Could not save the project to file. Check the log for details.|Das Projekt konnte nicht in einer Datei gespeichert werden. Überprüfen Sie die Protokolldatei auf Details.
Could not set component type slot. Check log for details.|Der Steckplatz für den Komponententyp konnte nicht festgelegt werden. Überprüfen Sie das Protokolldatei auf Details. 
Cover|Abdeckung
Create B.O.M.|Stückliste erstellen
Create New Account|Neues Konto erstellen
Current|Strom
Cut|Ausschneiden
