#start-internal
icon=spain
#end-internal
(Building Blocks)|(Bloques)
(Favorites)|(Favoritos)
(Recently Used)|(Ultimos usados)
180 degrees clockwise|180 grados en sentido de reloj
270 degrees clockwise|270 grados en sentido de reloj
90 degrees clockwise|90 grados en sentido de reloj
A variant with that name already exists. Overwrite?|Ya existe una variante con ese nombre. ¿Sobrescribir?
About|Acerca de
Above|Encima
Access User Files|Acceder a archivos de usuario
Add Flexible Leads|Agregar patas flexibles
Add Validation Step|Agregar paso de validación
All Connected|Todos los conectados
Alpha|Opacidad
Analyze|Analizar
Analyze Guitar Diagrams|Analizar diagramas de guitarra
Angle|Ángulo
Anti-Aliasing|Suavizado
Arrow Size|Tamaño de flecha
Author|Autor
Auto-Create Pads|Creación automática de Pads
Auto-Edit Mode|Modo de edición automática
Base|Base
Below|Debajo
Blueprint|Azulado
Board|Placa
Boards|Placas
Board Color|Color de placa
Board Width|Ancho de placa
Bobbin 1|Bobin 1
Bobbin 2|Bobin 2
Body|Cuerpo
Border|Borde
Border Thickness|Espesor de borde
Both|Ambos
Both Sides|Ambos lados
Bottom|Abajo
Bottom Left|Abajo a la izquierda
Bottom Right|Abajo a la derecha
Bring Forward|Poner adelante
Bring Selection to Front|Traer selección al frente
Buffer|Buffer
Center|Centrar
Center Negative|Centro negativo
Center Positive|Centro positivo
Center Terminal|Terminal central
Central|Central
Change Password|Cambia la contraseña
Channel|Canal
Chassis|Chasis
Circular|Circular
Click on a component to highlight area directly or indirectly connected to the area below the cursor. To continue editing, this mode needs to be switched OFF|Haga clic en un componente para resaltar el área conectada directa o indirectamente al área debajo del cursor. Para continuar editando, este modo necesita estar desactivado
Click on the canvas to create a new %s or press %s to cancel|Haga clic en el lienzo para crear un nuevo %s o presione %s para cancelar
Click on the canvas to set the %s control point of a new %s or press %s to cancel|Haga clic en el lienzo para establecer el %s punto de control de un nuevo %s o presione %s para cancelar
Click the lighbulb icon in the bottom-right corner of the window for more info.|Haga clic en el icono de la bombilla en la esquina inferior derecha de la ventana para obtener más información.
Click to fetch the most recent public announcement|Haga clic para obtener el anuncio público más reciente.
Click to show recent changes and updates|Haga clic para ver cambios y actualizaciones recientes
Coil|Bobina
Coil Border|Borde de la bobina
Coil Length|Longitud de la bobina
Coil Width|Ancho de la bobina
Color|Color
Color 1|Color 1
Color 2|Color 2
Color code|Codigo de color
Columns|Columnas
Component|Componente
Component API|Componente de API
Components|Componentes
Config|Configuración
Connector|Conector
Connector (Mirrored)|Conector (reflejado)
Connectivity|Conectividad
Contacts|Contactos
Continuous Creation|Creación continua
Coordinate Color|Color coordinado
Coordinate Origin|Origen coordinado
Coordinates|Coordenadas
Copy|Copiar
Core|Núcleo
Core Border|Borde del núcleo
Core Thickness|Espesor del núcleo
Core Width|Ancho del núcleo
Could not create a new file. Check the log for details.|No se pudo crear un nuevo archivo. Verifique el registro para más detalles.
