(Building Blocks)|(Blocs de construction)
(Favorites)|(Favoris)
(Recently Used)|(Récemment utilisé)
180 degrees clockwise|180 degrés dans le sens horaire
270 degrees clockwise|270 degrés dans le sens des aiguilles d'une montre
90 degrees clockwise|90 degrés dans le sens horaire
A variant with that name already exists. Overwrite?|Une variante avec ce nom existe déjà. Écraser?
About|À propos
Above|Ci-dessus
Access User Files|Accéder aux fichiers utilisateur
Add Flexible Leads|Ajouter des prospects flexibles
Add Validation Step|Ajouter une étape de validation
All Connected|Tous connectés
Alpha|Alpha
Analyze|Analyser
Analyze Guitar Diagrams|Analyser les diagrammes de guitare
Angle|Angle
Anti-Aliasing|Anti-aliasing
Arrow Size|Taille de la flèche
Author|Auteur
Auto-Create Pads|Pads de création automatique
Auto-Edit Mode|Mode d'édition automatique
Base|Base
Below|Ci-dessous
Blueprint|Blueprint
Board|Conseil
Boards|Tableaux
Board Color|Couleur du plateau
Board Width|Largeur du panneau
Bobin 1|Bobin 1
Bobin 2|Bobin 2
Body|Le corps
Border|Frontière
Border Thickness|Épaisseur de bordure
Both|Les deux
Both Sides|Les deux côtés
Bottom|En bas
Bottom Left|En bas à gauche
Bottom Right|En bas à droite
Bring Forward|Avancer
Bring Selection to Front|Mettre la sélection au premier plan
Buffer|Tampon
Center|Centre
Center Negative|Centre négatif
Center Positive|Centre positif
Center Terminal|Terminal central
Central|Central
Change Password|Changer le mot de passe
Channel|Chaîne
Chassis|Châssis
Circular|Circulaire
Click on a component to highlight area directly or indirectly connected to the area below the cursor. To continue editing, this mode needs to be switched OFF|Cliquez sur un composant pour mettre en surbrillance la zone directement ou indirectement connectée à la zone située sous le curseur. Pour continuer l'édition, ce mode doit être désactivé
Click on the canvas to create a new %s or press %s to cancel|Cliquez sur le canevas pour créer un nouveau %s ou appuyez sur %s pour annuler
Click on the canvas to set the %s control point of a new %s or press %s to cancel|Cliquez sur le canevas pour définir le point de contrôle %s d'un nouveau %s ou appuyez sur %s pour annuler
Click the lighbulb icon in the bottom-right corner of the window for more info.|Cliquez sur l'icône de l'ampoule dans le coin inférieur droit de la fenêtre pour plus d'informations.
Click to fetch the most recent public announcement|Cliquez pour récupérer l'annonce publique la plus récente
Click to show recent changes and updates|Cliquez pour afficher les modifications et mises à jour récentes
Coil|Bobine
