#start-internal
icon=brazil
#end-internal
(Building Blocks)|(Blocos)
(Favorites)|(Favoritos)
(Recently Used)|(Últimos usados)
180 degrees clockwise|180 graus em Sentido Horário
270 degrees clockwise|270 graus em Sentido Horário
90 degrees clockwise|90 graus em Sentido Horário
A variant with that name already exists. Overwrite?|já existe uma variável com este nome. Gravar por cima deste arquivo?
About|Sobre
Above|Acima
Access User Files|Acessar Arquivos de usuário
Add Flexible Leads|Adicionar Cabos Flexíveis
Add Validation Step|Adicionar Etapa de Validação 
All Connected|Todos conectados
Alpha|Opacidade
Analyze|Analizar
Analyze Guitar Diagrams|Analizar Diagramas da Guitarra
Angle|Ângulo
Anti-Aliasing|Suavizado
Arrow Size|Tamanho da Flecha
Author|Autor
Auto-Create Pads|Criação Automática de Pads
Auto-Edit Mode|Modo de Edição Automática
Base|Base
Below|Abaixo
Blueprint|Planta
Board|Placa
Boards|Placas
Board Color|Cor da Placa
Board Width|Largura da Placa
Bobbin 1|Bobina 1
Bobbin 2|Bobina 2
Body|Corpo
Border|Borda
Border Thickness|Espessura da Borda
Both|Ambos
Both Sides|Ambos Lados
Bottom|Abaixo
Bottom Left|Canto Inferior Esquerdo
Bottom Right|Canto Inferior Direito
Bring Forward|Trazer para frente
Bring Selection to Front|Trazer a seleção para frente 
Buffer|Buffer
Center|Centralizar
Center Negative|Centro Negativo
Center Positive|Centro Positivo
Center Terminal|Terminal Central
Central|Central
Change Password|Trocar a senha
Channel|Canal
Chassis|Chassi
Circular|Circular
Click on a component to highlight area directly or indirectly connected to the area below the cursor. To continue editing, this mode needs to be switched OFF|Clique em um componente para destacar a área conectada direta ou indiretamente à área abaixo do cursor. Para continuar editando, este modo necessita estar desativado
Click on the canvas to create a new %s or press %s to cancel|Clique sobre a área de trabalho para criar um novo %s ou pressione %s para cancelar
Click on the canvas to set the %s control point of a new %s or press %s to cancel|Clique sobre a área de trabalho para establecer o %s ponto de controle de um novo %s ou pressione %s para cancelar
Click the lightbulb icon in the bottom-right corner of the window for more info.|Clique no ícone da lâmpada no canto inferior direito da tela para obter mais informação.
Click to fetch the most recent public announcement|Clique para obter o anúncio público mais recente.
Click to show recent changes and updates|Clique para ver as mudanças e atualizações recentes
