#start-internal
icon=spain
#end-internal
(Building Blocks)|(Bloques)
(Favorites)|(Favoritos)
(Recently Used)|(Últimos usados)
180 degrees clockwise|180 grados en Sentido Horario
270 degrees clockwise|270 grados en Sentido Horario
90 degrees clockwise|90 grados en Sentido Horario
A variant with that name already exists. Overwrite?|Ya existe una variante con ese nombre. ¿Sobrescribir?
About|Acerca de
Above|Encima
Access User Files|Acceder a Archivos de Usuario
Add Flexible Leads|Agregar Cables Flexibles
Add Validation Step|Agregar Paso de Validación 
All Connected|Todos conectados
Alpha|Opacidad
Analyze|Analizar
Analyze Guitar Diagrams|Analizar Diagramas de Guitarra
Angle|Ángulo
Anti-Aliasing|Suavizado
Arrow Size|Tamaño de Flecha
Author|Autor
Auto-Create Pads|Creación Automática de Pads
Auto-Edit Mode|Modo de Edición Automática
Base|Base
Below|Debajo
Blueprint|Cianotipo
Board|Placa
Boards|Placas
Board Color|Color de Placa
Board Width|Ancho de Placa
Bobbin 1|Bobina 1
Bobbin 2|Bobina 2
Body|Cuerpo
Border|Borde
Border Thickness|Espesor del Borde
Both|Ambos
Both Sides|Ambos Lados
Bottom|Abajo
Bottom Left|Esquina Inferior Izquierda
Bottom Right|Esquina Inferior Derecha
Bring Forward|Poner Encima
Bring Selection to Front|Traer Selección al Frente 
Buffer|Buffer
Center|Centrar
Center Negative|Centro Negativo
Center Positive|Centro Positivo
Center Terminal|Terminal Central
Central|Central
Change Password|Cambiar la Contraseña
Channel|Canal
Chassis|Chasis
Circular|Circular
Click on a component to highlight area directly or indirectly connected to the area below the cursor. To continue editing, this mode needs to be switched OFF|Haga clic en un componente para resaltar el área conectada directa o indirectamente al área debajo del cursor. Para continuar editando, este modo necesita estar desactivado
Click on the canvas to create a new %s or press %s to cancel|Haga clic sobre el área de trabajo para crear un nuevo %s o presione %s para cancelar
Click on the canvas to set the %s control point of a new %s or press %s to cancel|Haga clic sobre el área de trabajo para establecer el %s punto de control de un nuevo %s o presione %s para cancelar
Click the lightbulb icon in the bottom-right corner of the window for more info.|Haga clic en el icono de la bombilla en la esquina inferior derecha de la ventana para obtener más información.
Click to fetch the most recent public announcement|Haga clic para obtener el anuncio público más reciente.
