#start-internal
icon=france
#end-internal
(Building Blocks)|(Blocs de construction)
(Favorites)|(Favoris)
(Recently Used)|(Récemment utilisé)
180 degrees clockwise|180 degrés dans le sens horaire
270 degrees clockwise|270 degrés dans le sens horaire
90 degrees clockwise|90 degrés dans le sens horaire
A variant with that name already exists. Overwrite?|Une variante avec ce nom existe déjà. Écraser?
About|À propos
Above|Ci-dessus
Access User Files|Accéder aux fichiers utilisateur
Add Flexible Leads|Ajouter des pattes flexibles
Add Validation Step|Ajouter une étape de validation
All Connected|Tous connectés
Alpha|Alpha
Analyze|Analyser
Analyze Guitar Diagrams|Analyser les diagrammes de guitare
Angle|Angle
Anti-Aliasing|Anti-aliasing
Arrow Size|Taille de la flèche
Author|Auteur
Auto-Create Pads|Création automatique des pads
Auto-Edit Mode|Mode d'édition automatique
Base|Base
Below|Ci-dessous
Blueprint|Plan
Board|Plaque
Boards|Plaques
Board Color|Couleur de la plaque
Board Width|Largeur de la plaque
Bobbin 1|Bobine 1
Bobbin 2|Bobine 2
Body|Corps
Border|Bordure
Border Thickness|Épaisseur de la bordure
Both|Les deux
Both Sides|Les deux côtés
Bottom|En bas
Bottom Left|En bas à gauche
Bottom Right|En bas à droite
Bring Forward|Envoyer devant
Bring Selection to Front|Amener la sélection au premier plan
Buffer|Tampon
Center|Borne
Center Negative|Borne négative
Center Positive|Borne positive
Center Terminal|Borne centrale
Central|Central
Change Password|Changer le mot de passe
Channel|Chaîne
Chassis|Châssis
Circular|Circulaire
Click on a component to highlight area directly or indirectly connected to the area below the cursor. To continue editing, this mode needs to be switched OFF|Cliquez sur un composant pour mettre en surbrillance la zone directement ou indirectement connectée à la zone située sous le curseur. Pour continuer l'édition, ce mode doit être désactivé
Click on the canvas to create a new %s or press %s to cancel|Cliquez sur la toile pour créer un nouveau %s ou appuyez sur %s pour annuler
Click on the canvas to set the %s control point of a new %s or press %s to cancel|Cliquez sur la toile pour définir le point de contrôle %s d'un nouveau %s ou appuyez sur %s pour annuler
Click the lightbulb icon in the bottom-right corner of the window for more info.|Cliquez sur l'icône de l'ampoule dans le coin inférieur droit de la fenêtre pour plus d'informations.
Click to fetch the most recent public announcement|Cliquez pour récupérer l'annonce publique la plus récente
Click to show recent changes and updates|Cliquez pour afficher les modifications et mises à jour récentes
