#start-internal
icon=italy
#end-internal
(Building Blocks)|(Blocchi Costruttivi)
(Favorites)|(Preferiti)
(Recently Used)|(Usato di recente)
180 degrees clockwise|180 gradi in senso orario
270 degrees clockwise|270 gradi in senso orario
90 degrees clockwise|90 gradi in senso orario
A variant with that name already exists. Overwrite?|Una variante con quel nome esiste già. Sovrascrivere?
About|Circa
Above|Sopra
Access User Files|Accesso File Utente
Add a Curve |Aggiungi una curva
Add Flexible Leads|Aggiungi Cavi Flessibili
Add Validation Step|Aggiungi Passaggio di Convalida
All Connected|Tutto Collegato
Alpha|Alfa
Analyze|Analizza
Analyze Guitar Diagrams|Analizza i Diagrammi della Chitarra
Angle|Angolo
Anti-Aliasing|Anti-Aliasing
Apply Variant|Applica variante
Arrow Size|Dimensione Freccia
Author|Autore
Auto-Create Pads|Creazione Automatica dei Pad
Auto-Convert Units|Conversione automatica delle unità
Auto-Edit Mode|Modalità di Editaggio Automatica
Base|Base
Below|Sotto
Blueprint|Planimetria
Board|Scheda
Boards|Schede
Board Color|Colore Scheda
Board Width|Larghezza della Scheda
Bobbin 1|Bobina 1
Bobbin 2|Bobina 2
Body|Corpo
Border|Bordo
Border Thickness|Spessore del Bordo
Both|Entrambi
Both Sides|Entrambi i Lati
Bottom|In Basso
Bottom Left|In Basso a Sinistra
Bottom Right|In Basso a Destra
Bring Forward|Porta in Primo Piano
Bring Selection to Front|Porta la selezione in primo piano
Buffer|Buffer
Center|Centro
Center Negative|Centro Negativo
Center Positive|Centro Positivo
Center Terminal|Terminale Centrale
Central|Centrale
Change Password|Cambia Password
Channel|Canale
Chassis|Telaio
Circular|Circolare
Clear |Libera
Click on a component to highlight area directly or indirectly connected to the area below the cursor. To continue editing, this mode needs to be switched OFF|Clicca su un componente per evidenziare l'area direttamente o indirettamente connessa all'area sotto il cursore. Per continuare la modifica, questa modalità deve essere disattivata
Click on the canvas to create a new %s or press %s to cancel|Fai clic sull'area di disegno per crearne un nuovo %s oppure premi %s per annullare
Click on the canvas to set the %s control point of a new %s or press %s to cancel|Clicca sull'area di disegno per impostare il punto di controllo %s di un nuovo %s oppure premi %s per annullare
Click the lightbulb icon in the bottom-right corner of the window for more info.|Clicca sull'icona della lampadina nell'angolo in basso a destra della finestra per ulteriori informazioni.
Click to fetch the most recent public announcement|Clicca per recuperare l'annuncio pubblico più recente
Click to show recent changes and updates|Clicca per mostrare le modifiche e gli aggiornamenti recenti
Click to toggle to the next option|Clicca per passare all'opzione successiva
Coil|Bobina
Coil Border|Bordo della Bobina
Coil Length|Lunghezza della Bobina
Coil Width|Larghezza della Bobina
Color|Colore
Color 1|Colore 1
Color 2|Colore 2
Color code|Codice Colore
Columns|Colonne
Component|Componente
Component API|Componente API
Components|Componenti
Config|Configura
Connector|Connettore
Connector (Mirrored)|Connettore (Specchiato)
Connectivity|Connettività
Contacts|Contatti
Continuous Creation|Creazione Continua
Coordinate Color|Colore Coordinata
Coordinate Origin|Origine Coordinata
Coordinates|Coordinate
Copy|Copia
Core|Nucleo
Core Border|Bordo del Nucleo
Core Thickness|Spessore del Nucleo
Core Width|Larghezza del Nucleo
Could not create a new file. Check the log for details.|Impossibile creare un nuovo file. Controlla il registro per i dettagli.
Could not create component. Check log for details.|Impossibile creare il componente. Controlla il registro per i dettagli.
Could not fetch public announcements.|Impossibile recuperare gli annunci pubblici.
Could not save the project to file. Check the log for details.|Impossibile salvare il progetto in un file. Controlla il registro per i dettagli.
Could not set component type slot. Check log for details.|Impossibile impostare lo slot del componente. Controlla il registro per i dettagli.
Cover|Copertina
Create B.O.M.|Crea B.O.M.
Create New Account|Crea un nuovo account
Current|Corrente
Cut|Taglia
Cut Between Holes|Tagliare tra i fori
Cut Orientation|Orientamento al taglio
DIP (Mirrored)|DIP (Specchiato)
