#start-internal
icon=netherlands
#end-internal
(Building Blocks)|(Bouwstenen)
(Favorites)|(Favorieten) 
(Recently Used)|(Recentelijk gebruikt) 
180 degrees clockwise|180 graden
270 degrees clockwise|270 graden rechtsom 
90 degrees clockwise|90 graden rechtsom 
A variant with that name already exists. Overwrite?|Er bestaat al een variant met die naam. Overschrijven? 
About|Over 
Above|Boven
Open User Directory|Map van de gebruiker openen
Add a Curve|Lijn toevoegen
Add Flexible Leads|Flexibele draaden toevoegen
Add Validation Step|Controlestap toevoegen 
All Connected|Alle verbonden 
Alpha|Opaciteit 
Analyze|Analyseren 
Apply Variant|Variant toepassen
Analyze Guitar Diagrams|Gitaar diagrammen analyseren
Angle|Hoek 
Anti-Aliasing|Anti-aliasing 
Arrow Size|Pijlgrootte 
Author|Ontwerper
Auto-Create Pads|Automatisch aanmaken van soldeereilandjes 
Auto-Edit Mode|Automatisch bewerken modus
Base|Basis
Below|Onder
Blueprint|Blauwdruk
Board|Printplaat
Boards|Printplaten
Board Color|Printplaat kleur
Board Width|Printplaat breedte
Bobbin 1|Spoel 1 
Bobbin 2|Spoel 2 
Body|Lichaam 
Border|Rand
Border Thickness|Randdikte 
Both|Beide 
Both Sides|Beide kanten 
Bottom|Onderkant
Bottom Left|Linksonder 
Bottom Right|Rechtsonder 
Bring Forward|Verhogen
Bring Selection to Front|Selectie naar top brengen
Buffer|Buffer 
Center|Midden 
Center Negative|Middenpin negatief 
Center Positive|Middenpin positief 
Center Terminal|Middenpin aansluiting
Central|Centraal 
Change Password|Wachtwoord wijzigen 
Channel|Channel
Chassis|Chassis
Circular|Rond
Clear|Alles wissen
Click on a component to highlight area directly or indirectly connected to the area below the cursor. To continue editing, this mode needs to be switched OFF|Klik op een component om het gebied te markeren dat direct of indirect verbonden is met het gebied onder de cursor. Om door te gaan met bewerken, moet deze modus worden uitgeschakeld 
Click on the canvas to create a new %s or press %s to cancel|Klik op het werkblad om een nieuwe %s te maken of druk op %s om te annuleren 
Click on the canvas to set the %s control point of a new %s or press %s to cancel|Klik op het werkblad om het %s-controlepunt van een nieuwe %s in te stellen of druk op %s om te annuleren 
Click the lightbulb icon in the bottom-right corner of the window for more info.|Klik op het gloeilampicoon in de rechteronderhoek van het venster voor meer informatie.
Click to fetch the most recent public announcement|Klik om de meest recente openbare aankondiging op te halen 
Click to show recent changes and updates|Klik om recente wijzigingen en updates weer te geven
Click to toggle to the next option|Klik om naar de volgende optie te gaan 
Coil|Spoel
Coil Border|Spoelrand
Coil Length|Spoellengte
Coil Width|Spoelbreedte
Color|Kleur 
Color 1|Kleur 1 
Color 2|Kleur 2 
Color code|Kleurcode 
Columns|Kolommen
Component|Component
Component API|Component API
Components|Componenten
Config|Configuratie
Connector|Connector 
Connector (Mirrored)|Connector (gespiegeld) 
Connectivity|Connectiviteit 
Contacts|Contacten 
Continuous Creation|Doorgaan met invoegen
Coordinate Color|Coördinaatkleur
Coordinate Origin|Coördinaatoorsprong
Coordinates|Coördinaten 
Copy|Kopiëren
Core|Kern
Core Border|Kernrand
Core Thickness|Kerndikte
Core Width|Kernbreedte
Could not create a new file. Check the log for details.|Kon geen nieuw bestand maken. Controleer het logbestand voor details.
Could not create component. Check log for details.|Kon component niet maken. Controleer het logbestand voor details.
Could not fetch public announcements.|Kon geen openbare aankondigingen ophalen.
Could not save the project to file. Check the log for details.|Kon het project niet opslaan in  bestand. Controleer het logbestand voor details.
Could not set component type slot. Check log for details.|Kon sleuf voor componenttype niet instellen. Controleer logbestand voor details. 
Cover|Deksel
Create B.O.M.|Stuklijst maken
Create New Account|Nieuw account aanmaken
Current|Stroom
Cut|Snijden
Cut Between Holes|Tussen gaten onderbreken
Cut Orientation|Onderbrekingsoriëntatie
DIP (Mirrored)|DIP (gespiegeld) 
